Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024(In lakhs)"
442,UTIAMC,UTI Asset Management Company Limited,"1,034,577.54"
443,LEMONTREE,Lemon Tree Hotels Limited,"1,034,277.76"
444,JKLAKSHMI,JK Lakshmi Cement Limited,"1,030,436.77"
445,GPPL,Gujarat Pipavav Port Limited,"1,027,551.53"
446,SFL,Sheela Foam Limited,"1,025,776.81"
447,PCBL,PCBL LIMITED,"1,010,467.39"
448,MAPMYINDIA,C E  Info Systems Limited,"1,007,847.75"
449,ROUTE,ROUTE MOBILE LIMITED,"1,006,029.25"
450,CANFINHOME,Can Fin Homes Limited,"1,002,583.98"
451,CUB,City Union Bank Limited,"1,001,018.08"
452,SAPPHIRE,Sapphire Foods India Limited,"999,490.43"
453,CAPLIPOINT,Caplin Point Laboratories Limited,"998,899.76"
454,MINDACORP,Minda Corporation Limited,"998,634.77"
455,MMTC,MMTC Limited,"996,750.00"
456,PTCIL,PTC Industries Limited,"995,631.98"
457,IFCI,IFCI Limited,"987,131.90"
458,PRAJIND,Praj Industries Limited,"979,631.85"
459,VOLTAMP,Voltamp Transformers Limited,"978,421.62"
460,SCI,Shipping Corporation Of India Limited,"972,588.33"
461,USHAMART,Usha Martin Limited,"969,840.71"
462,EIDPARRY,EID Parry India Limited,"968,713.49"
463,RTNINDIA,RattanIndia Enterprises Limited,"956,530.56"
464,ANURAS,Anupam Rasayan India Limited,"955,631.33"
465,GLS,Glenmark Life Sciences Limited,"951,607.28"
466,DOMS,DOMS Industries Limited,"950,210.40"
467,INFIBEAM,Infibeam Avenues Limited,"947,425.84"
468,FORCEMOT,FORCE MOTORS LTD,"944,104.29"
469,ZYDUSWELL,Zydus Wellness Limited,"938,955.92"
470,STARCEMENT,Star Cement Limited,"938,482.18"
471,GODREJAGRO,Godrej Agrovet Limited,"936,066.90"
472,TTKPRESTIG,TTK Prestige Limited,"930,515.92"
473,ALKYLAMINE,Alkyl Amines Chemicals Limited,"927,308.62"
474,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,"918,526.21"
475,KPIGREEN,KPI Green Energy Limited,"918,104.12"
476,CRAFTSMAN,Craftsman Automation Limited,"911,665.49"
477,MAHLIFE,Mahindra Lifespace Developers Limited,"909,585.65"
478,REDTAPE,Redtape Limited,"909,299.40"
479,JUBLPHARMA,Jubilant Pharmova Limited,"907,743.21"
480,NETWEB,Netweb Technologies India Limited,"906,165.88"
481,NETWORK18,Network18 Media & Investments Limited,"902,469.62"
482,PRSMJOHNSN,Prism Johnson Limited,"898,994.85"
483,METROPOLIS,Metropolis Healthcare Limited,"882,946.18"
484,CERA,Cera Sanitaryware Limited,"882,123.40"
485,SBFC,SBFC Finance Limited,"878,290.38"
486,GRSE,Garden Reach Shipbuilders & Engineers Limited,"875,979.14"
487,KIRLOSBROS,Kirloskar Brothers Limited,"869,567.44"
488,UJJIVANSFB,Ujjivan Small Finance Bank Limited,"867,732.13"
489,SHRIPISTON,Shriram Pistons & Rings Limited,"863,662.87"
490,RENUKA,Shree Renuka Sugars Limited,"845,010.44"
491,RATEGAIN,Rategain Travel Technologies Limited,"844,618.76"
492,WOCKPHARMA,Wockhardt Limited,"844,086.08"
493,SAFARI,Safari Industries (India) Limited,"841,600.20"
494,HAPPYFORGE,Happy Forgings Limited,"838,235.04"
495,TECHNOE,Techno Electric & Engineering Company Limited,"830,549.78"
496,SHOPERSTOP,Shoppers Stop Limited,"830,118.70"
497,IBULHSGFIN,Indiabulls Housing Finance Limited,"828,798.45"
498,SYRMA,Syrma SGS Technology Limited,"826,480.97"
499,TEGA,Tega Industries Limited,"825,771.99"
500,ACI,Archean Chemical Industries Limited,"825,525.72"
501,MEDPLUS,Medplus Health Services Limited,"822,234.92"
502,MAHSCOOTER,Maharashtra Scooters Limited,"819,468.33"
503,NEULANDLAB,Neuland Laboratories Limited,"811,124.83"
504,AZAD,Azad Engineering Limited,"808,577.07"
505,ESABINDIA,Esab India Limited,"808,449.11"
506,GALAXYSURF,Galaxy Surfactants Limited,"805,266.05"
507,ZENTEC,Zen Technologies Limited,"803,883.35"
508,JSWHL,JSW Holdings Limited,"800,532.70"
509,TV18BRDCST,TV18 Broadcast Limited,"795,463.11"
510,HOMEFIRST,Home First Finance Company India Limited,"794,698.15"
511,MHRIL,Mahindra Holidays & Resorts India Limited,"792,126.83"
512,POWERMECH,Power Mech Projects Limited,"792,067.16"
513,KTKBANK,The Karnataka Bank Limited,"789,691.86"
514,JLHL,Jupiter Life Line Hospitals Limited,"784,497.45"
515,MASTEK,Mastek Limited,"784,123.90"
516,PGHL,Procter & Gamble Health Limited,"781,814.29"
517,THOMASCOOK,Thomas Cook  (India)  Limited,"780,831.73"
518,CCL,CCL Products (India) Limited,"779,942.69"
519,GSFC,Gujarat State Fertilizers & Chemicals Limited,"779,621.29"
520,RAJESHEXPO,Rajesh Exports Limited,"778,157.62"
521,QUESS,Quess Corp Limited,"772,842.83"
522,VARROC,Varroc Engineering Limited,"769,814.28"
523,TMB,Tamilnad Mercantile Bank Limited,"768,954.66"
524,MANINFRA,Man Infraconstruction Limited,"758,650.20"
525,EASEMYTRIP,Easy Trip Planners Limited,"758,433.38"
526,VIPIND,VIP Industries Limited,"745,907.75"
527,IONEXCHANG,ION Exchange (India) Limited,"743,086.28"
528,RESPONIND,Responsive Industries Limited,"740,371.93"
529,MIDHANI,Mishra Dhatu Nigam Limited,"738,587.95"
530,EMIL,Electronics Mart India Limited,"736,986.25"
531,GAEL,Gujarat Ambuja Exports Limited,"733,185.05"
532,BALRAMCHIN,Balrampur Chini Mills Limited,"730,231.39"
533,STAR,Strides Pharma Science Limited,"721,137.06"
534,JUBLINGREA,Jubilant Ingrevia Limited,"721,065.72"
535,SARDAEN,Sarda Energy & Minerals Limited,"714,805.41"
536,JMFINANCIL,JM Financial Limited,"713,812.99"
537,SOUTHBANK,The South Indian Bank Limited,"712,839.91"
538,HEG,HEG Limited,"711,720.43"
539,CHEMPLASTS,Chemplast Sanmar Limited,"711,493.08"
540,ARVIND,Arvind Limited,"707,579.62"
541,RCF,Rashtriya Chemicals and Fertilizers Limited,"707,539.99"
542,NAVA,NAVA LIMITED,"704,681.25"
543,ALLCARGO,Allcargo Logistics Limited,"703,671.98"
544,ICIL,Indo Count Industries Limited,"701,310.42"
545,IWEL,Inox Wind Energy Limited,"699,512.21"
546,KNRCON,KNR Constructions Limited,"692,680.82"
547,FDC,FDC Limited,"691,780.05"
548,RELIGARE,Religare Enterprises Limited,"689,941.53"
549,GRAVITA,Gravita India Limited,"689,516.17"
550,RUSTOMJEE,Keystone Realtors Limited,"688,966.65"
551,MARKSANS,Marksans Pharma Limited,"688,545.14"
552,NIITMTS,NIIT Learning Systems Limited,"685,828.36"
553,AHLUCONT,Ahluwalia Contracts (India) Limited,"684,210.94"
554,JUSTDIAL,Just Dial Limited,"682,980.95"
555,TRIVENI,Triveni Engineering & Industries Limited,"680,991.58"
556,TVSSCS,TVS Supply Chain Solutions Limited,"679,605.91"
557,GARFIBRES,Garware Technical Fibres Limited,"677,604.69"
558,VESUVIUS,Vesuvius India Limited,"673,200.68"
559,SAREGAMA,Saregama India Limited,"669,723.76"
560,DBL,Dilip Buildcon Limited,"668,056.20"
561,INDIASHLTR,India Shelter Finance Corporation Limited,"667,784.99"
562,BLUEJET,Blue Jet Healthcare Limited,"664,199.11"
563,BALAMINES,Balaji Amines Limited,"662,681.45"
564,ISGEC,Isgec Heavy Engineering Limited,"660,221.47"
565,AVANTIFEED,Avanti Feeds Limited,"659,769.46"
566,INDIACEM,The India Cements Limited,"658,221.65"
567,BECTORFOOD,Mrs  Bectors Food Specialities Limited,"655,638.38"
568,CAMPUS,Campus Activewear Limited,"654,773.63"
569,LTFOODS,LT Foods Limited,"651,620.15"
570,VIJAYA,Vijaya Diagnostic Centre Limited,"651,532.68"
571,GOCOLORS,Go Fashion (India) Limited,"650,916.28"
572,BORORENEW,BOROSIL RENEWABLES LIMITED,"649,751.87"
573,LXCHEM,Laxmi Organic Industries Limited,"648,636.41"
574,GREENLAM,Greenlam Industries Limited,"644,949.60"
575,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,"636,364.88"
576,CMSINFO,CMS Info Systems Limited,"635,830.89"
577,KRBL,KRBL Limited,"634,826.12"
578,ETHOSLTD,Ethos Limited,"633,419.22"
579,TEXRAIL,Texmaco Rail & Engineering Limited,"631,741.47"
580,TCI,Transport Corporation of India Limited,"630,972.74"
581,IBREALEST,Indiabulls Real Estate Limited,"628,072.55"
582,JINDWORLD,Jindal Worldwide Limited,"626,826.77"
583,EMUDHRA,eMudhra Limited,"626,801.81"
584,PDSL,PDS Limited,"624,429.46"
585,GANESHHOUC,Ganesh Housing Corporation Limited,"617,523.09"
586,CSBBANK,CSB Bank Limited,"615,007.26"
587,SHAREINDIA,Share India Securities Limited,"612,355.17"
588,IFBIND,IFB Industries Limited,"610,192.81"
589,PRINCEPIPE,Prince Pipes And Fittings Limited,"607,256.73"
590,VAIBHAVGBL,Vaibhav Global Limited,"603,365.87"
591,ARVINDFASN,Arvind Fashions Limited,"602,431.94"
592,EDELWEISS,Edelweiss Financial Services Limited,"599,772.27"
593,SENCO,Senco Gold Limited,"599,436.52"
594,SPANDANA,Spandana Sphoorty Financial Limited,"599,290.67"
595,INDIGOPNTS,Indigo Paints Limited,"598,405.32"
596,GENUSPOWER,Genus Power Infrastructures Limited,"593,340.07"
597,SYMPHONY,Symphony Limited,"592,920.55"
598,HGINFRA,H G  Infra Engineering Limited,"592,340.23"
599,TIPSINDLTD,TIPS Industries Limited,"591,597.09"
600,SIS,SIS LIMITED,"589,730.85"
601,MSTCLTD,Mstc Limited,"585,516.80"
602,NESCO,Nesco Limited,"585,346.12"
603,SANGHVIMOV,Sanghvi Movers Limited,"585,297.05"
604,SANDUMA,Sandur Manganese & Iron Ores Limited,"582,353.57"
605,UJJIVAN,Ujjivan Financial Services Limited,"580,182.11"
606,ITDCEM,ITD Cementation India Limited,"573,770.53"
607,CYIENTDLM,Cyient DLM Limited,"571,321.32"
608,EPL,EPL Limited,"570,955.75"
609,SUPRAJIT,Suprajit Engineering Limited,"570,618.92"
610,SUNTECK,Sunteck Realty Limited,"570,564.60"
611,HEMIPROP,Hemisphere Properties India Limited,"569,857.50"
612,MOIL,MOIL Limited,"566,808.06"
613,TIMETECHNO,Time Technoplast Limited,"566,528.41"
614,ASTRAMICRO,Astra Microwave Products Limited,"566,299.50"
615,TRIL,Transformers And Rectifiers (India) Limited,"564,054.94"
616,WONDERLA,Wonderla Holidays Limited,"562,169.07"
617,ASKAUTOLTD,ASK Automotive Limited,"561,067.84"
618,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,"560,134.39"
619,GMMPFAUDLR,GMM Pfaudler Limited,"555,626.33"
620,SURYAROSNI,Surya Roshni Limited,"553,012.81"
621,VSTIND,VST Industries Limited,"551,276.54"
622,PTC,PTC India Limited,"550,427.47"
623,JKPAPER,JK Paper Limited,"546,237.86"
624,SANSERA,Sansera Engineering Limited,"545,690.99"
625,CHOICEIN,Choice International Limited,"545,102.19"
626,AURIONPRO,Aurionpro Solutions Limited,"545,065.10"
627,PAISALO,Paisalo Digital Limited,"544,214.65"
628,ITDC,India Tourism Development Corporation Limited,"541,676.65"
629,HNDFDS,Hindustan Foods Limited,"541,359.09"
630,PARADEEP,Paradeep Phosphates Limited,"540,987.00"
631,KESORAMIND,Kesoram Industries Limited,"531,660.57"
632,HCC,Hindustan Construction Company Limited,"530,790.82"
633,ORCHPHARMA,Orchid Pharma Limited,"529,938.57"
634,JAMNAAUTO,Jamna Auto Industries Limited,"527,599.98"
635,ICRA,ICRA Limited,"525,422.67"
636,RSYSTEMS,R Systems International Limited,"522,428.01"
637,PRUDENT,Prudent Corporate Advisory Services Limited,"519,550.32"
638,MTARTECH,Mtar Technologies Limited,"517,914.61"
639,UTKARSHBNK,Utkarsh Small Finance Bank Limited,"516,697.54"
640,RAIN,Rain Industries Limited,"506,872.94"
641,DYNAMATECH,Dynamatic Technologies Limited,"506,444.70"
642,JAICORPLTD,Jai Corp Limited,"504,744.16"
643,RBA,Restaurant Brands Asia Limited,"502,573.71"
644,GATEWAY,Gateway Distriparks Limited,"500,892.95"
645,PURVA,Puravankara Limited,"497,421.47"
646,GUJALKALI,Gujarat Alkalies and Chemicals Limited,"494,616.98"
647,NAZARA,Nazara Technologies Limited,"492,286.65"
648,RALLIS,Rallis India Limited,"487,144.57"
649,VRLLOG,VRL Logistics Limited,"486,198.42"
650,GABRIEL,Gabriel India Limited,"479,555.29"
651,DODLA,Dodla Dairy Limited,"477,815.90"
652,JKIL,J Kumar Infraprojects Limited,"477,487.18"
653,ROLEXRINGS,Rolex Rings Limited,"476,174.46"
654,WABAG,VA Tech Wabag Limited,"474,792.82"
655,PRICOLLTD,Pricol Limited,"474,606.55"
656,HCG,Healthcare Global Enterprises Limited,"470,590.21"
657,AGI,AGI Greenpac Limited,"470,026.47"
658,DBCORP,D B Corp Limited,"468,917.05"
659,FUSION,Fusion Micro Finance Limited,"467,993.15"
660,DHANUKA,Dhanuka Agritech Limited,"467,565.24"
661,MASFIN,MAS Financial Services Limited,"466,294.56"
662,SULA,Sula Vineyards Limited,"465,379.55"
663,TDPOWERSYS,TD Power Systems Limited,"463,356.69"
664,GALLANTT,Gallantt Ispat Limited,"463,259.41"
665,JAYNECOIND,Jayaswal Neco Industries Limited,"461,709.67"
666,GULFOILLUB,Gulf Oil Lubricants India Limited,"461,150.73"
667,SAMHI,Samhi Hotels Limited,"460,926.68"
668,TEAMLEASE,Teamlease Services Limited,"459,568.47"
669,KIRLPNU,Kirloskar Pneumatic Company Limited,"458,549.39"
670,EPIGRAL,Epigral Limited,"456,199.96"
671,TIIL,Technocraft Industries (India) Limited,"453,975.51"
672,GOPAL,Gopal Snacks Limited,"445,834.44"
673,JTEKTINDIA,Jtekt India Limited,"445,372.27"
674,HEIDELBERG,HeidelbergCement India Limited,"445,181.47"
675,SUNDARMHLD,Sundaram Finance Holdings Limited,"443,430.36"
676,RTNPOWER,RattanIndia Power Limited,"443,033.73"
677,STLTECH,Sterlite Technologies Limited,"442,220.72"
678,JPASSOCIAT,Jaiprakash Associates Limited,"440,599.92"
679,PATELENG,Patel Engineering Limited,"440,188.20"
680,ASHOKA,Ashoka Buildcon Limited,"439,612.56"
681,SINDHUTRAD,Sindhu Trade Links Limited,"439,449.70"
682,PGEL,PG Electroplast Limited,"432,556.19"
683,NFL,National Fertilizers Limited,"429,746.68"
684,ENTERO,Entero Healthcare Solutions Limited,"429,479.20"
685,JSFB,Jana Small Finance Bank Limited,"428,401.77"
686,GOKEX,Gokaldas Exports Limited,"428,138.90"
687,BANCOINDIA,Banco Products (I) Limited,"426,930.58"
688,VMART,V-Mart Retail Limited,"425,978.61"
689,SHANTIGEAR,Shanthi Gears Limited,"425,044.18"
690,GHCL,GHCL Limited,"424,296.57"
691,SUDARSCHEM,Sudarshan Chemical Industries Limited,"422,286.23"
692,WELENT,Welspun Enterprises Limited,"420,916.40"
693,FEDFINA,Fedbank Financial Services Limited,"419,032.35"
694,NOCIL,NOCIL Limited,"416,780.91"
695,TARC,TARC Limited,"412,397.13"
696,KKCL,Kewal Kiran Clothing Limited,"412,149.24"
697,ORIENTELEC,Orient Electric Limited,"412,009.55"
698,BOROLTD,Borosil Limited,"409,344.53"
699,KIRLOSIND,Kirloskar Industries Limited,"408,479.10"
700,BALMLAWRIE,Balmer Lawrie & Company Limited,"407,673.17"
701,FCL,Fineotex Chemical Limited,"407,559.78"
702,GRWRHITECH,Garware Hi-Tech Films Limited,"406,218.41"
703,SHARDAMOTR,Sharda Motor Industries Limited,"406,193.53"
704,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,"406,051.19"
705,MAXESTATES,Max Estates Limited,"405,944.21"
706,TI,Tilaknagar Industries Limited,"405,697.39"
707,AMIORG,Ami Organics Limited,"403,362.71"
708,ORIENTCEM,Orient Cement Limited,"401,133.03"
709,SHILPAMED,Shilpa Medicare Limited,"399,766.14"
710,AARTIDRUGS,Aarti Drugs Limited,"399,273.71"
711,LGBBROSLTD,LG Balakrishnan & Bros Limited,"398,966.21"
712,AARTIPHARM,Aarti Pharmalabs Limited,"394,177.82"
713,TCIEXP,TCI Express Limited,"392,607.88"
714,WSTCSTPAPR,West Coast Paper Mills Limited,"390,415.10"
715,ADVENZYMES,Advanced Enzyme Technologies Limited,"389,650.99"
716,PRIVISCL,Privi Speciality Chemicals Limited,"387,170.01"
717,GREENPANEL,Greenpanel Industries Limited,"385,969.73"
718,VENUSPIPES,Venus Pipes & Tubes Limited,"384,103.88"
719,BBOX,Black Box Limited,"378,225.60"
720,IIFLSEC,IIFL Securities Limited,"378,014.53"
721,PILANIINVS,Pilani Investment and Industries Corporation Limited,"377,071.01"
722,ROSSARI,Rossari Biotech Limited,"373,987.57"
723,KSL,Kalyani Steels Limited,"373,779.33"
724,DCBBANK,DCB Bank Limited,"373,380.50"
725,IMAGICAA,Imagicaaworld Entertainment Limited,"372,267.78"
726,BAJAJHIND,Bajaj Hindusthan Sugar Limited,"371,073.06"
727,DCAL,Dishman Carbogen Amcis Limited,"369,302.58"
728,HARSHA,Harsha Engineers International Limited,"365,177.91"
729,BBL,Bharat Bijlee Limited,"362,612.57"
730,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,"360,828.53"
731,ORISSAMINE,The Orissa Minerals Development Company Limited,"354,789.00"
732,THANGAMAYL,Thangamayil Jewellery Limited,"353,361.55"
733,ZAGGLE,Zaggle Prepaid Ocean Services Limited,"352,504.61"
734,BHARATRAS,Bharat Rasayan Limited,"352,381.27"
735,KOLTEPATIL,Kolte - Patil Developers Limited,"352,014.42"
736,KSCL,Kaveri Seed Company Limited,"348,588.72"
737,MEDIASSIST,Medi Assist Healthcare Services Limited,"348,186.61"
738,INOXGREEN,Inox Green Energy Services Limited,"348,069.91"
739,HATHWAY,Hathway Cable & Datacom Limited,"346,940.48"
740,SSWL,Steel Strips Wheels Limited,"346,656.88"
741,UNICHEMLAB,Unichem Laboratories Limited,"346,431.49"
742,CIGNITITEC,Cigniti Technologies Limited,"345,578.11"
743,IMFA,Indian Metals & Ferro Alloys Limited,"345,090.46"
744,ASHAPURMIN,Ashapura Minechem Limited,"343,941.99"
745,HGS,Hinduja Global Solutions Limited,"343,598.83"
746,MUTHOOTMF,Muthoot Microfin Limited,"340,558.12"
747,SUBROS,Subros Limited,"336,322.91"
748,RAMKY,Ramky Infrastructure Limited,"336,162.87"
749,SUNFLAG,Sunflag Iron And Steel Company Limited,"335,478.50"
750,CARERATING,CARE Ratings Limited,"334,083.96"
751,GENSOL,Gensol Engineering Limited,"333,754.90"
752,SKIPPER,Skipper Limited,"332,035.47"
753,LAOPALA,La Opala RG Limited,"330,613.50"
754,LUMAXTECH,Lumax Auto Technologies Limited,"329,338.03"
755,DCXINDIA,DCX Systems Limited,"327,698.87"
756,BOMDYEING,Bombay Dyeing & Mfg Company Limited,"326,841.48"
757,HIKAL,Hikal Limited,"326,808.64"
758,JISLJALEQS,Jain Irrigation Systems Limited,"326,391.64"
759,CUPID,Cupid Limited,"325,132.18"
760,AVALON,Avalon Technologies Limited,"324,318.75"
761,LUXIND,Lux Industries Limited,"323,075.10"
762,NUCLEUS,Nucleus Software Exports Limited,"317,237.12"
763,TASTYBITE,Tasty Bite Eatables Limited,"317,232.01"
764,SOTL,Savita Oil Technologies Limited,"317,032.70"
765,ARVSMART,Arvind SmartSpaces Limited,"316,186.99"
766,SANDHAR,Sandhar Technologies Limited,"316,031.31"
767,SALASAR,Salasar Techno Engineering Limited,"315,705.28"
768,NEOGEN,Neogen Chemicals Limited,"315,577.58"
769,DATAMATICS,Datamatics Global Services Limited,"314,373.47"
770,JTLIND,JTL INDUSTRIES LIMITED,"313,565.89"
771,ANUP,The Anup Engineering Limited,"313,554.00"
772,HERITGFOOD,Heritage Foods Limited,"313,511.29"
773,THYROCARE,Thyrocare Technologies Limited,"312,394.31"
774,VADILALIND,Vadilal Industries Limited,"312,206.99"
775,NAVNETEDUL,Navneet Education Limited,"311,608.66"
776,DISHTV,Dish TV India Limited,"308,410.39"
777,KDDL,KDDL Limited,"307,441.45"
778,KALAMANDIR,Sai Silks (Kalamandir) Limited,"307,345.69"
779,LANDMARK,Landmark Cars Limited,"303,092.69"
780,INDOCO,Indoco Remedies Limited,"302,852.14"
781,BAJAJCON,Bajaj Consumer Care Limited,"302,472.47"
782,TVSSRICHAK,TVS Srichakra Limited,"299,222.20"
783,CARTRADE,Cartrade Tech Limited,"299,167.72"
784,SBCL,Shivalik Bimetal Controls Limited,"299,167.41"
785,FIEMIND,Fiem Industries Limited,"298,135.95"
786,PRAKASH,Prakash Industries Limited,"297,723.56"
787,DELTACORP,Delta Corp Limited,"296,288.72"
788,RAJRATAN,Rajratan Global Wire Limited,"294,928.74"
789,IDEAFORGE,Ideaforge Technology Limited,"294,900.92"
790,MAHLOG,Mahindra Logistics Limited,"294,519.80"
791,PFOCUS,Prime Focus Limited,"294,451.37"
792,GREAVESCOT,Greaves Cotton Limited,"293,711.96"
793,DOLLAR,Dollar Industries Limited,"291,974.59"
794,UFLEX,UFLEX Limited,"291,878.83"
795,UNITECH,Unitech Limited,"291,717.57"
796,BFUTILITIE,BF Utilities Limited,"290,794.09"
797,SHARDACROP,Sharda Cropchem Limited,"289,743.12"
798,BANARISUG,Bannari Amman Sugars Limited,"288,751.67"
799,SEQUENT,Sequent Scientific Limited,"288,095.69"
800,GREENPLY,Greenply Industries Limited,"285,991.27"
801,MAITHANALL,Maithan Alloys Limited,"285,409.64"
802,SHK,S H Kelkar and Company Limited,"284,454.75"
803,SUNCLAY,Sundaram Clayton Limited,"284,008.16"
804,GUFICBIO,Gufic Biosciences Limited,"283,283.95"
805,BLSE,BLS E-Services Limited,"281,655.10"
806,DIACABS,Diamond Power Infrastructure Limited,"280,533.04"
807,ESAFSFB,ESAF Small Finance Bank Limited,"280,297.63"
808,VSTTILLERS,V S T Tillers Tractors Limited,"279,907.75"
809,HLEGLAS,HLE Glascoat Limited,"278,727.95"
810,BCG,Brightcom Group Limited,"278,473.22"
811,GOODLUCK,Goodluck India Limited,"277,958.16"
812,SWARAJENG,Swaraj Engines Limited,"277,333.98"
813,SEAMECLTD,Seamec Limited,"276,776.55"
814,SMLISUZU,SML Isuzu Limited,"276,155.18"
815,ASHIANA,Ashiana Housing Limited,"275,387.85"
816,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,"275,315.04"
817,HINDWAREAP,Hindware Home Innovation Limited,"272,340.52"
818,SAGCEM,Sagar Cements Limited,"272,263.82"
819,SAKSOFT,Saksoft Limited,"271,517.98"
820,APOLLO,Apollo Micro Systems Limited,"269,087.99"
821,SUPRIYA,Supriya Lifescience Limited,"267,967.48"
822,AUTOAXLES,Automotive Axles Limited,"265,585.40"
823,STYLAMIND,Stylam Industries Limited,"264,745.65"
824,FLAIR,Flair Writing Industries Limited,"264,384.31"
825,VINDHYATEL,Vindhya Telelinks Limited,"263,711.33"
826,CARYSIL,CARYSIL LIMITED,"263,319.02"
827,THEJO,Thejo Engineering Limited,"263,234.94"
828,MPSLTD,MPS Limited,"262,283.48"
829,MARATHON,Marathon Nextgen Realty Limited,"262,252.90"
830,ISMTLTD,ISMT Limited,"260,684.95"
831,FILATEX,Filatex India Limited,"259,877.40"
832,NRBBEARING,NRB Bearing Limited,"259,801.03"
833,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,"259,428.22"
834,MOLDTKPAC,Mold-Tek Packaging Limited,"259,202.12"
835,DREAMFOLKS,Dreamfolks Services Limited,"258,952.04"
836,GMRP&UI,GMR Power and Urban Infra Limited,"258,640.26"
837,SHALBY,Shalby Limited,"258,251.36"
838,INNOVACAP,Innova Captab Limited,"257,254.67"
839,PFS,PTC India Financial Services Limited,"256,913.33"
840,AJMERA,Ajmera Realty & Infra India Limited,"256,484.68"
841,HMAAGRO,HMA Agro Industries Limited,"255,642.97"
842,NILKAMAL,Nilkamal Limited,"254,540.97"
843,RPGLIFE,RPG Life Sciences Limited,"252,790.57"
844,TATVA,Tatva Chintan Pharma Chem Limited,"252,306.71"
845,STYRENIX,Styrenix Performance Materials Limited,"251,659.09"
846,QUICKHEAL,Quick Heal Technologies Limited,"251,153.61"
847,ACCELYA,Accelya Solutions India Limited,"250,798.50"
848,REPCOHOME,Repco Home Finance Limited,"250,683.38"
849,PCJEWELLER,PC Jeweller Limited,"250,387.30"
850,APOLLOPIPE,Apollo Pipes Limited,"250,247.04"
851,GANECOS,Ganesha Ecosphere Limited,"249,667.79"
852,PARAGMILK,Parag Milk Foods Limited,"248,182.37"
853,BAJEL,Bajel Projects Limited,"248,090.63"
854,PSPPROJECT,PSP Projects Limited,"247,644.00"
855,GIPCL,Gujarat Industries Power Company Limited,"246,615.06"
856,XPROINDIA,Xpro India Limited,"246,203.92"
857,PITTIENG,Pitti Engineering Limited,"245,247.11"
858,SHAKTIPUMP,Shakti Pumps (India) Limited,"245,117.76"
859,TIDEWATER,Tide Water Oil Company (India) Limited,"243,500.40"
860,SHAILY,Shaily Engineering Plastics Limited,"243,074.87"
861,EVEREADY,Eveready Industries India Limited,"242,920.82"
862,CONFIPET,Confidence Petroleum India Limited,"241,161.66"
863,POLYPLEX,Polyplex Corporation Limited,"240,372.08"
864,TAJGVK,Taj GVK Hotels & Resorts Limited,"240,052.67"
865,TIRUMALCHM,Thirumalai Chemicals Limited,"239,537.01"
866,SPECTRUM,Spectrum Electrical Industries Limited,"239,264.63"
867,PARAS,Paras Defence and Space Technologies Limited,"238,602.37"
868,EXICOM,Exicom Tele-Systems Limited,"238,447.15"
869,PGIL,Pearl Global Industries Limited,"238,344.42"
870,MANORAMA,Manorama Industries Limited,"237,412.82"
871,SOMANYCERA,Somany Ceramics Limited,"236,734.40"
872,KINGFA,Kingfa Science & Technology (India) Limited,"236,711.07"
873,FINOPB,Fino Payments Bank Limited,"236,578.26"
874,UNIPARTS,Uniparts India Limited,"236,455.76"
875,INDOSTAR,IndoStar Capital Finance Limited,"236,053.66"
876,DIVGIITTS,Divgi Torqtransfer Systems Limited,"235,457.95"
877,HINDOILEXP,Hindustan Oil Exploration Company Limited,"235,086.97"
878,SEPC,SEPC Limited,"234,685.79"
879,INDIAGLYCO,India Glycols Limited,"234,394.04"
880,IPL,India Pesticides Limited,"234,012.25"
881,GENESYS,Genesys International Corporation Limited,"233,863.08"
882,SANGHIIND,Sanghi Industries Limited,"233,397.54"
883,BSHSL,Bombay Super Hybrid Seeds Limited,"233,380.51"
884,SATIN,Satin Creditcare Network Limited,"232,154.73"
885,AXISCADES,AXISCADES Technologies Limited,"231,107.41"
886,ARTEMISMED,Artemis Medicare Services Limited,"230,759.06"
887,SASKEN,Sasken Technologies Limited,"230,632.19"
888,EIHAHOTELS,EIH Associated Hotels Limited,"230,506.77"
889,DHANI,Dhani Services Limited,"229,530.29"
890,PRECWIRE,Precision Wires India Limited,"229,039.52"
891,VIDHIING,Vidhi Specialty Food Ingredients Limited,"228,448.43"
892,APCOTEXIND,Apcotex Industries Limited,"227,158.69"
893,HUHTAMAKI,Huhtamaki India Limited,"225,923.87"
894,LUMAXIND,Lumax Industries Limited,"225,439.25"
895,GOCLCORP,GOCL Corporation Limited,"225,356.54"
896,WENDT,Wendt (India) Limited,"224,676.00"
897,DEN,Den Networks Limited,"224,533.82"
898,YATRA,Yatra Online Limited,"224,468.61"
899,HONDAPOWER,Honda India Power Products Limited,"224,450.95"
900,KCP,KCP Limited,"224,064.98"
901,EMSLIMITED,EMS Limited,"223,455.97"
902,JAGRAN,Jagran Prakashan Limited,"223,422.11"
